Symbol
AAPL
MSFT
NVDA
AMZN
GOOGL
META
AVGO
LLY
BRK.B
JPM
XOM
UNH
V
MA
PG
JNJ
HD
COST
MRK
ABBV
BAC
KO
PEP
WMT
CVX
PFE
DIS
CRM
NFLX
ADBE
AMD
CSCO
LIN
TMO
ACN
MCD
ABT
UPS
TXN
INTU
MS
PM
BA
DHR
IBM
UNP
CAT
NEE
HON
LOW
AMAT
NOW
AMGN
CVS
RTX
BKNG
GS
REGN
SBUX
GE
LMT
MDT
T
ELV
DE
ISRG
BLK
AXP
PLD
SPGI
ADP
SYK
VRTX
TJX
MDLZ
GILD
MMC
PYPL
CME
ETN
PGR
CI
CB
ZTS
SO
MU
BDX
SCHW
ADI
EOG
FIS
USB
EW
ITW
PANW
BSX
AON
CSX
GM
KLAC
FDX
ORCL
PXD
TGT
F
LRCX
AEP
APD
NKE
ORI
KMI
MAR
SLB
MCO
SHW
MO
MNST
KR
KDP
ROST
CMG
DD
VRTX
